STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,airpol,Air pollutants and greenhouse gases,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2008,,8104.74549,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2009,,7318.14404,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2010,,7711.00548,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2011,,7491.8656,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2012,,7107.81024,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2013,,6895.53692,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2014,,6565.68887,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2015,,6615.96742,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2016,,6459.72098,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2017,,6760.69715,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2018,,6418.27357,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2019,,6770.31189,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2020,,6027.87044,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2021,,6242.84703,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2022,,6290.14802,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2023,,6097.94572,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2008,,9873.857,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2009,,8761.72211,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2010,,9253.57577,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2011,,8520.2103,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2012,,8141.25167,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2013,,7898.86552,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2014,,7687.20757,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2015,,7875.67521,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2016,,7804.64226,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2017,,7785.27407,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2018,,7897.42144,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2019,,7861.9478,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2020,,7215.50687,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2021,,7196.28338,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2022,,6840.66343,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BE,Belgium,2023,,6392.17088,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2008,,8373.85841,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2009,,7283.77182,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2010,,7679.77058,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2011,,8434.14976,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2012,,7811.90863,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2013,,7243.70463,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2014,,7807.16467,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2015,,8344.74717,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2016,,8137.83355,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2017,,8492.90166,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2018,,7944.98123,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2019,,7863.52492,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2020,,6967.88423,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2021,,7961.12117,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2022,,8762.71524,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,BG,Bulgaria,2023,,6634.92437,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2000,,5213.35171,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2001,,5303.67291,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2002,,5080.97057,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2003,,5045.75295,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2004,,5082.33879,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2005,,5111.62992,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2006,,5147.07739,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2007,,5021.91574,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2008,,5076.39302,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2009,,4847.52809,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2010,,4912.04789,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2011,,4735.69956,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2012,,4753.7529,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2013,,4732.30122,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2014,,4479.93546,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2015,,4390.79976,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2016,,4347.13667,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2017,,4254.13874,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2018,,4166.96777,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,CH,Switzerland,2019,,4134.10355,,,,,
